Designator,Mid X,Mid Y,Layer,Rotation
BT3,74.565,-111.27,top,-90
BT4,74.618291,-91.289699,top,-90
C1,62.725,-38.975,top,0
C2,72.6775,-39.01,top,180
C3,44.725,-38.975,top,0
C4,54.6775,-39.01,top,180
C5,80.725,-38.975,top,0
C6,90.6775,-39.01,top,180
C7,26.725,-39,top,0
C8,36.6775,-39.01,top,180
C9,113.00908,-60.2625,top,180
C10,101.8,-49.675,top,-90
C11,42.5625,-33.375,top,0
C12,108.76408,-49.875,top,0
C13,118.79908,-50.5425,top,0
C14,117.5375,-58.3,top,-90
C15,48.15,-53.725,top,0
C16,96.9125,-72.525,top,0
C17,107.77158,-53.1175,top,90
C18,104.78408,-54.0175,top,180
C19,104.79908,-51.94625,top,180
C20,104.81158,-49.875,top,180
C21,55.25,-48.15,top,0
C22,72.615,-49,top,0
C23,90.615,-48.2,top,0
C24,37.25,-48.125,top,0
C25,49.025,-45.237499,top,-90
C26,67.025,-45.237499,top,-90
C27,85.025,-45.237499,top,-90
C28,31.025,-45.2375,top,-90
C29,112.10413,-38.82663,top,90
C30,114.83908,-52.6425,top,180
C31,114.83908,-50.5425,top,180
C32,40.125,-30.275,top,90
C33,43.125,-29.35,top,180
C34,43.125,-31.35,top,180
C35,42.35,-35.6,top,0
C36,50.5975,-40.92,top,180
C37,68.5975,-40.92,top,180
C38,86.5975,-40.92,top,180
C39,32.5975,-40.92,top,180
C40,78.5375,-33.325,top,0
C41,76.1,-30.225,top,90
C42,79.1,-29.3,top,180
C43,79.1,-31.3,top,180
C44,78.325,-35.55,top,0
C45,60.6,-33.38125,top,0
C46,58.1625,-30.28125,top,90
C47,61.1625,-29.35625,top,180
C48,61.1625,-31.35625,top,180
C49,60.3875,-35.60625,top,0
C50,100.25,-72.525,top,180
C51,25.55,-31.2875,top,90
D1,115.525,-104.6,top,0
D2,101.00158,-56.255,top,90
D3,115.6,-96.15,top,180
D4,109.225,-79.925,top,0
D5,36.85,-54.3,top,0
D6,26.875,-89.5,top,90
D7,26.875,-80.675,top,90
D8,41.475,-43.225,top,-90
D9,59.35,-43.6475,top,-90
D10,77.425,-43.6475,top,-90
D11,25.55,-35.45,top,90
D12,51.325,-44.275,top,-90
D13,69.25,-44.35,top,-90
D14,87.2,-44.45,top,-90
D15,33.35,-44.25,top,-90
F1,115.375,-85.125,top,-90
L1,106.05,-58.425,top,90
Q1,65.984999,-31.0575,top,90
Q2,65.984999,-36.3125,top,90
Q3,71.095,-36.2975,top,-90
Q4,71.094999,-31.0425,top,-90
Q5,47.984999,-31.0575,top,90
Q6,47.984999,-36.3125,top,90
Q7,53.095,-36.2975,top,-90
Q8,53.094999,-31.0425,top,-90
Q9,83.984999,-31.0575,top,90
Q10,83.984999,-36.3125,top,90
Q11,89.095,-36.2975,top,-90
Q12,89.094999,-31.0425,top,-90
Q13,29.985,-31.0575,top,90
Q14,29.985,-36.3125,top,90
Q15,35.095,-36.2975,top,-90
Q16,35.095,-31.0425,top,-90
Q17,102.88913,-30.61663,top,-90
Q18,109.59163,-29.77913,top,180
Q19,113.4625,-33.075,top,180
Q20,113.4625,-43.075,top,180
Q21,29.0625,-108.175,top,0
Q22,29.0625,-104.575,top,0
Q23,29.0625,-111.875,top,0
Q24,29.0625,-97.4,top,0
Q25,29.0625,-100.95,top,0
R1,63.265,-34.04,top,90
R2,66.177499,-39.08,top,0
R3,73.785,-36.2975,top,90
R4,74.275,-31.0175,top,90
R5,45.265,-34.04,top,90
R6,48.177499,-39.08,top,0
R7,55.785,-36.2975,top,90
R8,56.275,-31.0175,top,90
R9,81.265,-34.04,top,90
R10,84.177499,-39.08,top,0
R11,91.785,-36.2975,top,90
R12,92.275,-31.0175,top,90
R13,27.475,-34.04,top,90
R14,30.1775,-39.08,top,0
R15,37.785,-36.2975,top,90
R16,38.275,-31.0175,top,90
R17,115.4875,-98.175,top,180
R18,118.45,-54.2225,top,180
R19,118.45,-55.8625,top,180
R20,118.3,-105.5125,top,90
R21,31.795,-82.1375,top,90
R22,34.335,-82.1375,top,90
R23,34.225,-85.95,top,0
R24,105.2,-79.925,top,0
R25,48.025,-55.7,top,180
R26,44.45,-55.7,top,0
R27,44.45,-53.9,top,180
R28,105.5,-74.55,top,135
R29,95.775,-78.5625,top,-90
R30,94.225,-78.5375,top,-90
U2,63.36,-43.625,top,90
U3,73.25,-43.625,top,90
U4,45.36,-43.625,top,90
U5,55.25,-43.625,top,90
U6,81.36,-43.625,top,90
U7,91.25,-43.625,top,90
U8,27.36,-43.625,top,90
U9,37.25,-43.625,top,90
U10,105.74913,-37.18913,top,-90
U11,113.00908,-56.5025,top,180
U12,98.825,-74.9625,top,180
